X_hat, cp_s, h_hat, cr, T_design, CF,SHB_CF, CAPEX_total, Total_profit, Total_CO2
1.000000,3.000000,40.000000,1.000000,430.000000,0.384170,0.808704,15.537489,558879.642110,5369.111086
1.000000,3.000000,40.000000,1.000000,440.000000,0.388642,0.818303,15.537489,564657.814568,5431.603813
1.000000,3.000000,40.000000,1.000000,450.000000,0.390268,0.820538,15.537489,566073.191751,5454.696400
1.000000,3.000000,40.000000,1.000000,460.000000,0.388879,0.817913,15.537489,563633.217210,5434.927894
1.000000,3.000000,40.000000,1.000000,470.000000,0.386078,0.809313,15.537489,559143.746097,5396.009258
1.000000,3.000000,40.000000,1.000000,480.000000,0.382178,0.801817,15.537489,553289.158357,5341.494327
1.000000,3.000000,40.000000,1.000000,490.000000,0.377654,0.795871,15.537489,546580.970730,5278.031262
1.000000,3.000000,40.000000,1.000000,500.000000,0.372660,0.785797,15.537489,539028.707827,5208.225557
1.000000,3.000000,45.000000,1.000000,310.000000,0.224215,0.489079,15.587489,321969.919217,3133.639601
1.000000,3.000000,45.000000,1.000000,320.000000,0.246100,0.532506,15.587489,352704.341007,3439.638384
1.000000,3.000000,45.000000,1.000000,330.000000,0.267209,0.573307,15.587489,383433.539654,3734.327958
1.000000,3.000000,45.000000,1.000000,340.000000,0.286572,0.613898,15.587489,411855.050594,4005.213689
1.000000,3.000000,45.000000,1.000000,350.000000,0.303363,0.645719,15.587489,438160.594457,4239.893821
1.000000,3.000000,45.000000,1.000000,360.000000,0.320724,0.677549,15.587489,464967.950098,4482.551747
1.000000,3.000000,45.000000,1.000000,370.000000,0.336049,0.707154,15.587489,488963.805216,4696.915877
1.000000,3.000000,45.000000,1.000000,380.000000,0.349734,0.736825,15.587489,509889.721829,4887.784130
1.000000,3.000000,45.000000,1.000000,390.000000,0.362391,0.763328,15.587489,528406.171899,5064.930772
1.000000,3.000000,45.000000,1.000000,400.000000,0.373992,0.785027,15.587489,544936.682002,5226.840412
1.000000,3.000000,45.000000,1.000000,410.000000,0.384228,0.809342,15.587489,559644.852131,5370.264738
1.000000,3.000000,45.000000,1.000000,420.000000,0.393113,0.821480,15.587489,571461.716140,5494.096539
1.000000,3.000000,45.000000,1.000000,430.000000,0.396680,0.834484,15.587489,576554.545053,5543.957757
1.000000,3.000000,45.000000,1.000000,440.000000,0.397203,0.834389,15.587489,576929.019885,5551.270736
1.000000,3.000000,45.000000,1.000000,450.000000,0.395215,0.828862,15.587489,573620.953169,5523.837289
1.000000,3.000000,45.000000,1.000000,460.000000,0.392071,0.825162,15.587489,568681.931710,5479.776104
1.000000,3.000000,45.000000,1.000000,470.000000,0.388879,0.819016,15.587489,563201.542163,5434.927894
1.000000,3.000000,45.000000,1.000000,480.000000,0.384413,0.807315,15.587489,556861.272764,5372.740690
1.000000,3.000000,45.000000,1.000000,490.000000,0.379561,0.802568,15.587489,549586.668678,5304.929434
1.000000,3.000000,45.000000,1.000000,500.000000,0.374325,0.789840,15.587489,541548.326689,5231.494125
1.000000,3.000000,50.000000,1.000000,310.000000,0.226788,0.493940,15.637489,325380.181278,3169.722991
1.000000,3.000000,50.000000,1.000000,320.000000,0.251475,0.540915,15.637489,360641.412675,3514.762618
1.000000,3.000000,50.000000,1.000000,330.000000,0.273916,0.587119,15.637489,392766.364691,3828.067047
1.000000,3.000000,50.000000,1.000000,340.000000,0.295082,0.625923,15.637489,425114.635657,4123.910273
1.000000,3.000000,50.000000,1.000000,350.000000,0.314260,0.667675,15.637489,454735.088910,4392.320052
1.000000,3.000000,50.000000,1.000000,360.000000,0.332082,0.701094,15.637489,482365.032258,4641.137306
1.000000,3.000000,50.000000,1.000000,370.000000,0.348844,0.734028,15.637489,508800.128337,4875.751445
1.000000,3.000000,50.000000,1.000000,380.000000,0.363665,0.763290,15.637489,530838.527126,5082.575288
1.000000,3.000000,50.000000,1.000000,390.000000,0.377036,0.793027,15.637489,549884.137631,5269.388651
1.000000,3.000000,50.000000,1.000000,400.000000,0.389165,0.813071,15.637489,567082.971465,5438.916791
1.000000,3.000000,50.000000,1.000000,410.000000,0.398868,0.832915,15.637489,580559.241793,5574.539304
1.000000,3.000000,50.000000,1.000000,420.000000,0.402911,0.843712,15.637489,585356.132202,5631.048684
1.000000,3.000000,50.000000,1.000000,430.000000,0.402535,0.846318,15.637489,585313.316064,5626.035676
1.000000,3.000000,50.000000,1.000000,440.000000,0.400723,0.841733,15.637489,581890.550856,5600.467137
1.000000,3.000000,50.000000,1.000000,450.000000,0.397726,0.835369,15.637489,577381.871514,5558.583714
1.000000,3.000000,50.000000,1.000000,460.000000,0.394444,0.826741,15.637489,572279.994877,5512.711394
1.000000,3.000000,50.000000,1.000000,470.000000,0.390549,0.820938,15.637489,566106.601155,5458.501984
1.000000,3.000000,50.000000,1.000000,480.000000,0.385840,0.811720,15.637489,559445.330776,5392.685177
1.000000,3.000000,50.000000,1.000000,490.000000,0.380560,0.807563,15.637489,551803.194420,5318.890575
1.000000,3.000000,50.000000,1.000000,500.000000,0.375228,0.791904,15.637489,543081.229522,5244.125634
1.000000,3.000000,55.000000,1.000000,310.000000,0.229452,0.497964,15.687489,328777.439311,3206.952700
1.000000,3.000000,55.000000,1.000000,320.000000,0.255898,0.554338,15.687489,366592.978481,3576.590529
1.000000,3.000000,55.000000,1.000000,330.000000,0.281573,0.595348,15.687489,404433.544676,3935.102462
1.000000,3.000000,55.000000,1.000000,340.000000,0.302982,0.648012,15.687489,437617.429561,4234.575291
1.000000,3.000000,55.000000,1.000000,350.000000,0.324524,0.682515,15.687489,471144.704948,4535.431524
1.000000,3.000000,55.000000,1.000000,360.000000,0.343213,0.723963,15.687489,499726.923875,4796.704306
1.000000,3.000000,55.000000,1.000000,370.000000,0.361496,0.758562,15.687489,527371.438232,5052.592564
1.000000,3.000000,55.000000,1.000000,380.000000,0.376622,0.789526,15.687489,550079.981855,5264.004128
1.000000,3.000000,55.000000,1.000000,390.000000,0.390982,0.817475,15.687489,569891.024087,5464.668644
1.000000,3.000000,55.000000,1.000000,400.000000,0.402440,0.840411,15.687489,585887.957865,5624.706044
1.000000,3.000000,55.000000,1.000000,410.000000,0.407239,0.851104,15.687489,592094.251778,5691.546962
