X_hat, cp_s, h_hat, cr, T_design, CF,SHB_CF, CAPEX_total, Total_profit, Total_CO2
1.000000,0.600000,70.000000,1.000000,400.000000,0.128035,0.384513,12.552686,187647.514388,1789.075646
1.000000,0.600000,75.000000,1.000000,400.000000,0.128035,0.384513,12.602686,187647.514388,1789.075646
1.000000,0.600000,80.000000,1.000000,400.000000,0.128035,0.384513,12.652686,187647.514388,1789.075646
1.000000,0.600000,85.000000,1.000000,400.000000,0.128035,0.384513,12.702686,187647.514388,1789.075646
1.000000,0.600000,90.000000,1.000000,400.000000,0.128035,0.384513,12.752686,187647.514388,1789.075646
1.000000,0.600000,95.000000,1.000000,400.000000,0.128035,0.384513,12.802686,187647.514388,1789.075646
1.000000,0.600000,100.000000,1.000000,400.000000,0.128035,0.384513,12.852686,187647.514388,1789.075646
1.000000,0.800000,5.000000,1.000000,400.000000,0.158818,0.349115,12.235940,219994.583873,2219.700587
1.000000,0.800000,10.000000,1.000000,400.000000,0.167418,0.385873,12.285940,231969.308310,2339.543491
1.000000,0.800000,15.000000,1.000000,400.000000,0.170034,0.418284,12.335940,238567.659023,2376.108384
1.000000,0.800000,20.000000,1.000000,400.000000,0.170129,0.436330,12.385940,242435.213768,2377.438016
1.000000,0.800000,25.000000,1.000000,400.000000,0.169892,0.445034,12.435940,244756.130880,2374.113935
1.000000,0.800000,30.000000,1.000000,400.000000,0.169416,0.454804,12.485940,246082.263974,2367.465773
1.000000,0.800000,35.000000,1.000000,400.000000,0.169321,0.458971,12.535940,246516.747249,2366.136140
1.000000,0.800000,40.000000,1.000000,400.000000,0.169273,0.456982,12.585940,246779.609517,2365.471324
1.000000,0.800000,45.000000,1.000000,400.000000,0.169273,0.456982,12.635940,246779.609517,2365.471324
1.000000,0.800000,50.000000,1.000000,400.000000,0.169273,0.456982,12.685940,246779.609517,2365.471324
1.000000,0.800000,55.000000,1.000000,400.000000,0.169273,0.456982,12.735940,246779.609517,2365.471324
1.000000,0.800000,60.000000,1.000000,400.000000,0.169273,0.456982,12.785940,246779.609517,2365.471324
1.000000,0.800000,65.000000,1.000000,400.000000,0.169273,0.456982,12.835940,246779.609517,2365.471324
1.000000,0.800000,70.000000,1.000000,400.000000,0.169273,0.456982,12.885940,246779.609517,2365.471324
1.000000,0.800000,75.000000,1.000000,400.000000,0.169273,0.456982,12.935940,246779.609517,2365.471324
1.000000,0.800000,80.000000,1.000000,400.000000,0.169273,0.456982,12.985940,246779.609517,2365.471324
1.000000,0.800000,85.000000,1.000000,400.000000,0.169273,0.456982,13.035940,246779.609517,2365.471324
1.000000,0.800000,90.000000,1.000000,400.000000,0.169273,0.456982,13.085940,246779.609517,2365.471324
1.000000,0.800000,95.000000,1.000000,400.000000,0.169273,0.456982,13.135940,246779.609517,2365.471324
1.000000,0.800000,100.000000,1.000000,400.000000,0.169273,0.456982,13.185940,246779.609517,2365.471324
1.000000,1.000000,5.000000,1.000000,400.000000,0.174990,0.385065,12.550000,243888.234232,2445.738108
1.000000,1.000000,10.000000,1.000000,400.000000,0.189017,0.419425,12.600000,262809.613063,2641.675585
1.000000,1.000000,15.000000,1.000000,400.000000,0.198763,0.450980,12.650000,277835.507513,2777.657392
1.000000,1.000000,20.000000,1.000000,400.000000,0.205755,0.474410,12.700000,289274.384771,2875.385378
1.000000,1.000000,25.000000,1.000000,400.000000,0.208942,0.485797,12.750000,296074.407511,2919.928066
1.000000,1.000000,30.000000,1.000000,400.000000,0.209180,0.501208,12.800000,299661.787606,2923.252148
1.000000,1.000000,35.000000,1.000000,400.000000,0.209323,0.504462,12.850000,301606.971605,2925.246596
1.000000,1.000000,40.000000,1.000000,400.000000,0.209132,0.509808,12.900000,302478.995614,2922.587331
1.000000,1.000000,45.000000,1.000000,400.000000,0.209085,0.510464,12.950000,302842.465558,2921.922515
1.000000,1.000000,50.000000,1.000000,400.000000,0.208990,0.511206,13.000000,302959.639837,2920.592883
1.000000,1.000000,55.000000,1.000000,400.000000,0.208895,0.512081,13.050000,303171.686619,2919.263250
1.000000,1.000000,60.000000,1.000000,400.000000,0.208895,0.512081,13.100000,303171.686619,2919.263250
1.000000,1.000000,65.000000,1.000000,400.000000,0.208895,0.512081,13.150000,303171.686619,2919.263250
1.000000,1.000000,70.000000,1.000000,400.000000,0.208895,0.512081,13.200000,303171.686619,2919.263250
1.000000,1.000000,75.000000,1.000000,400.000000,0.208895,0.512081,13.250000,303171.686619,2919.263250
1.000000,1.000000,80.000000,1.000000,400.000000,0.208895,0.512081,13.300000,303171.686619,2919.263250
1.000000,1.000000,85.000000,1.000000,400.000000,0.208895,0.512081,13.350000,303171.686619,2919.263250
1.000000,1.000000,90.000000,1.000000,400.000000,0.208895,0.512081,13.400000,303171.686619,2919.263250
1.000000,1.000000,95.000000,1.000000,400.000000,0.208895,0.512081,13.450000,303171.686619,2919.263250
1.000000,1.000000,100.000000,1.000000,400.000000,0.208895,0.512081,13.500000,303171.686619,2919.263250
1.000000,1.200000,5.000000,1.000000,400.000000,0.185640,0.406050,12.849567,259696.326579,2594.473632
1.000000,1.200000,10.000000,1.000000,400.000000,0.202526,0.449905,12.899567,282904.923036,2830.483396
1.000000,1.200000,15.000000,1.000000,400.000000,0.215654,0.479404,12.949567,302496.744728,3013.972678
1.000000,1.200000,20.000000,1.000000,400.000000,0.226879,0.508229,12.999567,319516.751024,3170.869310
1.000000,1.200000,25.000000,1.000000,400.000000,0.235345,0.533723,13.049567,333491.519100,3289.206601
1.000000,1.200000,30.000000,1.000000,400.000000,0.241576,0.553710,13.099567,344596.997775,3376.297528
1.000000,1.200000,35.000000,1.000000,400.000000,0.244763,0.565601,13.149567,351343.305444,3420.840216
1.000000,1.200000,40.000000,1.000000,400.000000,0.245810,0.573630,13.199567,354779.061217,3435.466173
1.000000,1.200000,45.000000,1.000000,400.000000,0.246000,0.579937,13.249567,356221.798271,3438.125438
1.000000,1.200000,50.000000,1.000000,400.000000,0.246143,0.579633,13.299567,357120.681541,3440.119887
1.000000,1.200000,55.000000,1.000000,400.000000,0.246095,0.581193,13.349567,357423.356996,3439.455070
1.000000,1.200000,60.000000,1.000000,400.000000,0.246047,0.581754,13.399567,357570.755535,3438.790254
